Year,forestprop,pr_forest,kba_f,kba_t,protected_forest,kba_m,redlist,bio_aid,death_missing,loss_disaster,sendai_score,gov_spending,basic_drinking,basic_sanitation,undernourishment,stunted,overweight,plant_genes,agri_index,aid_agri,mmr,skilled_birth,under5mr,nmr,hiv,tuberculosis,malaria,tropical_disease,death_chronic,suicide,alcohol,traffic_deaths,fam_plan,adolescent_birth,uhc_index,poisoning,vaccine,medical_aid,doc_density,ihr_capacity,participation_rate,parity_teaching,scholarship,teacher_training,f_parliament,safewater,open_toilets,handwashing,waterbody,wateraid,electricity,cleanfuel,renewable,energy_intensity,energyaid,gdp_capita,gdp_employed,consumption_cap,totalaid,manu_value,manuco2,infrastrure_flow,tech_value,mobile_3g,np_unga,zero_tarrif,dev_assist,slumpop,death_missing,disasterloss,drrscore,consumption_cap,death_missing,homicideprop,human_traffic,np_unga,gov_rev,localfunds,remittanceprop,debtservice,internet_access,internet_use,techaid,tarrifavg,tarrif_applied,stat_capdev
1990,,,,,,,,,,,,,,,,,,,,,901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.706,,,,,,,,,,,,0.1453116,,,,,,
1991,,,,,,,,,,,,,,,,,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1117499,,,,,,
1992,,,,,,,,,,,,,,,,,,,,,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0918233,,,,,,
1993,,,,,,,0.82532,,,,,,,,,,,,,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0149794,0.0861512,,,,,,
1994,,,,,,,0.82517,,,,,,,,,,,,,,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0123239,0.0781449,,,,,,
1995,,,,,,,0.8251,,,,,,,,,,,1781,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.673,,,,,,,,,,,0.012911,0.0768718,,,,,,
1996,,,,,,,0.82461,,,,,,,,,,,,,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097665,0.0652582,,,,,,
1997,,,,,,,0.82445,,,,,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1556461,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100551,0.0693006,,,,,,
1998,,,,,,,0.82427,,,,,,,,,,,,,,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1942928,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0139006,0.0793733,,,,,,
1999,,,,,,,0.82393,,,,,,,,,,,,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2329445,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016581,0.0799309,,,,,,
