indicator,primary_forest,kba_freshwater,kba_mountain,redlist,biodiversityaid
1.4.1a,-1,0.9343795,0.9791427,0.9298246,0.4647059
1.4.1b,-1,0.9343795,0.9791427,0.9298246,0
1.5.1,-0.7132867,0.6145099,0.7187641,0.6993007,0
1.5.2,0,0,0,0,0
1.a.2,0.7007224,-0.7357089,-0.7048143,-0.7688338,-0.7617647
1.5.3,0,0,0,0,0
2.1.1,-0.9812336,0.9352948,0.9663386,0.9365509,0
2.2.1,-1,0.8944272,0.9746794,1,0
2.2.2,0,0,0,0,0
2.5.1,-0.9819805,0.7938161,0.9527699,0,0
2.a.1a,-0.7911765,0.8014369,0.8073163,0.7470588,0.5529412
2.a.1,-0.6519608,0.6162928,0.6408167,0.6842105,0.6941176
3.1.1,-1,0.94402144,0.97090013,0,0
3.1.2,-1,0.9258201,0.9710083,1,0
3.2.1,-1,0.9276456,0.9809591,0.9403509,0
3.2.2,-1,0.9276456,0.9809591,0.9403509,0
3.3.1,-0.9963167,0.9284226,0.9695012,0.9503151,0
3.3.2,-0.7198862,0.6613004,0.6419861,0.6724266,0.5595409
3.3.3,-0.98333333,0.70064905,0.88420483,0.95151515,0
3.3.5,-0.9047619,0,0.75592895,0.73809524,0
3.4.1,-1,0.8944272,0.9746794,0.9,0
3.4.2,-1,0.8944272,0.9746794,0.9,0
3.5.2,0,-0.8944272,0,0,0
3.6.1,0,0,0,0,0
3.7.1,0,0,0,0,0
3.7.2,0,0,0,0,0
3.8.1,0,0.8944272,0,0,0
3.9.3,-1,0.8944272,0.9746794,0.9,0
3.b.1,-0.8180324,0.8541977,0.8119666,0.8209786,0
3.b.2,-0.82352941,0.8250372,0.82842424,0.87822497,0.62647059
3.c.1,-1,0,0.8944272,0.9,0
3.d.1,0,0,0,0,0
4.2.2,0,0,0,0,0
4.5.1,-0.91428571,0.82109524,0.90357457,0.91428571,0
4.b.1,0,0,0,0,0
4.c.1,-0.99285714,0.91123934,0.9608564,0.94285714,0
5.5.1,0,0.7238698,0.5797632,0,0
6.1.1,-1,0.9343795,0.9791427,0.9298246,0
6.2.1a,-1,0.9343795,0.9791427,0.9298246,0
6.2.1b,0.8901099,-0.8451543,-0.8418573,-0.8626374,0
6.6.1,0.7636364,-0.83666,-0.7376067,-0.7909091,-0.6363636
6.a.1,-0.4877451,0,0,0.5810114,0
7.1.1,-0.997549,0.9266482,0.9759807,0.5787691,0
7.1.2,-0.9746794,0.8574929,0.9851844,0.9276337,0
7.2.1,0.73823529,-0.6544719,-0.65054025,-0.75980392,-0.53571429
7.3.1,-0.9145813,0.9385319,0.9166527,0.8711663,0
7.a.1,0,0,0,0,0
8.1.1,0,0,0,0,0
8.2.1,0,0,0,0,0
8.4.2a,0.91666667,-0.88799185,-0.90431044,-0.83900929,0
8.a.1,-0.958041958,0.81934649,0.841083593,0.909090909,0
9.2.1,0.9876161,-0.9276456,-0.9809591,-0.9298246,0
9.4.1,0.7029412,-0.6036265,-0.5789557,-0.7181373,0
9.a.1,-0.7671569,0.7698138,0.7282966,0.7770898,0.5735294
9.b.1,0.7700506,-0.7179196,-0.8094013,-0.7313867,0
9.c.1,-0.9761905,0.7559289,0.9322272,0.8095238,0
10.6.1,0.8944272,0,0,-0.8944272,0
10.a.1,-0.9,0,0,0,0
10.b.1,-0.9558824,0.8868874,0.9264439,0.9463364,0.5
11.1.1,0.7671569,-0.7698138,-0.7282966,-0.7770898,-0.5735294
11.5.1,-0.7132867,0.6145099,0.7187641,0.6993007,0
11.5.2,0.9761905,-0.7559289,-0.9322272,-0.8095238,0
11.b.1,0,0,0,0,0
12.2.2a,0.9166667,-0.8879918,-0.9043104,-0.8390093,0
13.1.1,-0.7132867,0.6145099,0.7187641,0.6993007,0
16.1.1,1,0,0,-1,0
16.2.2,-0.75,0,0,0.75,0
16.8.1,0.8944272,0,0,-0.8944272,0
17.1.1,-0.9828431,0.9266482,0.9580632,0.9133127,0
17.1.2,0,0.7637626,0,0.7142857,0
17.3.2,-0.95833333,0.88026058,0.91695813,0,0
17.4.1,0,0,0,0,0
17.6.2,-0.9090909,0.8193465,0.8110449,0.8461538,0
17.8.1,-1,0.9343795,0.9791427,0.9298246,0
17.9.1,-0.6740196,0.7079636,0.7198648,0.7316821,0.6088235
17.10.1,0,0,0,0,0.9
17.12.1,0,0,0,0,0
17.19.1,0,0,0,0,0
