,primary_forest,kba_freshwater,kba_mountain,redlist,biodiversityaid
SDG 1,-0.335427383,0.29126,0.328705867,0.298352683,-0.0495098
SDG 2,-0.7343919,0.673544633,0.723653483,0.561303367,0.207843133
SDG 3,-0.662292997,0.518901065,0.630715198,0.574612873,0.059300575
SDG 4,-0.476785713,0.433083645,0.466107743,0.464285713,0
SDG 5,0,0,0,0,0
SDG 6,-0.16679976,0.03738894,0.07576428,0.15742282,-0.12727272
SDG 7,-0.429714882,0.41364022,0.44545551,0.323553036,-0.107142858
SDG 8,-0.010343822,-0.01716134,-0.015806712,0.017520405,0
SDG 9,0.1434521,-0.1446898,-0.14175846,-0.158547,0.11470588
SDG 10,-0.320485067,0.295629133,0.308814633,0.017303067,0.166666667
SDG 11,0.257515175,-0.2278082,-0.235439925,-0.221828225,-0.14338235
SDG 12,0,0,0,0,0
SDG 13,0,0,0,0,0
SDG 16,0.381475733,0,0,-0.381475733,0
SDG 17,-0.452428693,0.503236098,0.438507373,0.41352589,0.15088235
